x(nm),y(nm),z(nm),cluster label (-1 is noise)
10394.02,18745.21,45.80951,5
10393.01,18739.05,55.30301,5
10398.12,18740.77,34.13992,5
10394.08,18744.86,34.43552,5
10387.73,18749.63,40.14734,5
10304.26,18778.51,65.07507,-1
10376.47,18715.15,5.220946,2
10366.91,18726.87,3.426699,-1
10379.17,18716.32,21.49961,2
10377.36,18712.81,18.31767,2
10378.62,18710.76,-4.869667,-1
10330.07,18760.95,41.03696,4
10393.77,18744.59,78.32909,5
10395.1,18740.07,49.54045,5
10392.42,18748.59,56.74356,5
10308.79,18772.33,35.6337,4
10307.42,18779.04,66.29655,-1
10394.29,18740.76,53.95588,5
10398.28,18747.06,62.34332,5
10388.64,18768.87,10.43577,6
10383.82,18770.98,26.55618,6
10389,18772.64,0.5184708,6
10384.68,18775.05,12.48779,6
10385.86,18773.89,17.16929,6
10363.7,18715.54,28.37762,2
10369.9,18711.85,27.55093,2
10311.22,18774.79,44.98568,4
10307.5,18774.22,46.87393,4
10307.98,18778.52,46.13546,4
10311.07,18776.69,8.676297,-1
10371.56,18715.04,29.45046,2
10379.75,18717.78,40.82184,-1
10331.34,18762.31,58.22303,4
10330.27,18761.63,60.98695,4
10327.45,18756.58,70.04906,-1
10330.19,18759.08,7.3757,-1
10306.77,18774.62,56.63828,4
10313.86,18770.1,42.67841,4
10317.34,18777.48,48.16717,4
10315.81,18775.97,50.29985,4
10321.71,18780.59,42.68819,4
10392.91,18735.69,50.09708,5
10317.87,18779.7,35.86345,4
10317.73,18775.48,79.30687,-1
10310.88,18778.98,62.27884,4
10312.76,18783.94,67.37122,-1
10398.54,18790.95,4.321679,-1
10386.25,18776.2,5.13397,6
10390.38,18772.83,38.45341,8
10390.96,18773.05,39.61868,8
10389.32,18775.08,27.32392,6
10388.28,18774.38,39.92458,8
10390.02,18747.35,151.8199,-1
10381.56,18716.5,9.679583,2
10379.64,18705.26,13.09099,2
10329.3,18762.12,40.63985,4
10329.87,18758.1,19.41311,-1
10386.04,18717.05,24.09352,-1
10377.17,18698.74,15.30719,2
10369.7,18755.38,52.32515,3
10327.01,18760,39.38227,4
10327.2,18760.05,70.42636,-1
10330.14,18762.97,45.21709,4
10319.62,18762.21,57.48403,4
10324.55,18759.76,76.77692,-1
10307.95,18776.83,41.90394,4
10311.88,18773.91,43.55959,4
10319.62,18780.03,51.07599,4
10386.45,18698.31,25.59015,-1
10381.96,18702.2,13.45075,2
10380.85,18703.65,14.74426,2
10377.87,18701.17,2.225493,2
10380.35,18702.68,8.144478,2
10397.65,18695.09,16.44453,-1
